sr,hr,skr,class_label,val
6.68,174.11,4.79,desk_lamp,0.01098901098901099
6.68,1.0,3.84,tv,0.015151515151515152
2.89,252.79,7.16,acoustic_guitar,0.0
10.0,111.16,7.16,helmet,0.05555555555555556
9.05,95.42,3.84,bench,0.018181818181818184
1.0,268.53,8.58,ant,0.05
1.95,300.0,6.68,ant,0.05
1.95,174.11,9.53,desk_lamp,0.016483516483516484
8.58,142.63,5.74,helmet,0.05555555555555556
10.0,142.63,9.53,desk_lamp,0.02197802197802198
3.84,32.47,10.0,tv,0.05303030303030304
1.0,189.84,2.89,helmet,0.05555555555555556
7.16,174.11,6.21,helmet,0.05555555555555556
4.79,126.89,5.74,bench,0.018181818181818184
7.63,63.95,3.37,acoustic_guitar,0.0
4.32,300.0,7.16,ant,0.05
2.89,284.26,2.42,helmet,0.05555555555555556
7.63,284.26,8.11,acoustic_guitar,0.0
3.84,142.63,7.63,helmet,0.05555555555555556
9.05,189.84,4.32,desk_lamp,0.01098901098901099
10.0,284.26,2.89,tv,0.022727272727272724
2.89,252.79,3.84,bench,0.018181818181818184
4.32,111.16,8.11,desk_lamp,0.02197802197802198
9.05,174.11,4.32,tv,0.022727272727272724
1.0,189.84,9.53,bench,0.018181818181818184
7.63,268.53,2.89,acoustic_guitar,0.0
1.0,252.79,9.05,ant,0.05
